"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE","SOS","ECR VS ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","10","3 out of 5 stars","0"
"2",1,"Bijan Robinson",ATL,"RB1","5","4 out of 5 stars","0"
"3",1,"Jahmyr Gibbs",DET,"RB2","8","2 out of 5 stars","+1"
"4",1,"Saquon Barkley",PHI,"RB3","9","3 out of 5 stars","-1"
"5",1,"CeeDee Lamb",DAL,"WR2","10","2 out of 5 stars","+1"
"6",1,"Justin Jefferson",MIN,"WR3","6","2 out of 5 stars","-1"
"7",2,"Malik Nabers",NYG,"WR4","14","2 out of 5 stars","+4"
"8",2,"Christian McCaffrey",SF,"RB4","14","3 out of 5 stars","-1"
"9",2,"Nico Collins",HOU,"WR5","6","4 out of 5 stars","+3"
"10",2,"Amon-Ra St. Brown",DET,"WR6","8","3 out of 5 stars","-1"
"11",2,"Derrick Henry",BAL,"RB5","7","4 out of 5 stars","-3"
"12",2,"Puka Nacua",LAR,"WR7","8","3 out of 5 stars","+1"
"13",2,"Brian Thomas Jr.",JAC,"WR8","8","4 out of 5 stars","+2"
"14",2,"Ashton Jeanty",LV,"RB6","8","2 out of 5 stars","-4"
"15",2,"Drake London",ATL,"WR9","5","3 out of 5 stars","+2"
"16",3,"De'Von Achane",MIA,"RB7","12","4 out of 5 stars","-2"
"17",3,"A.J. Brown",PHI,"WR10","9","3 out of 5 stars","+4"
"18",3,"Brock Bowers",LV,"TE1","8","2 out of 5 stars","+2"
"19",3,"Jonathan Taylor",IND,"RB8","11","2 out of 5 stars","-1"
"20",3,"Josh Jacobs",GB,"RB9","5","4 out of 5 stars","-4"
"21",3,"Bucky Irving",TB,"RB10","9","3 out of 5 stars","-2"
"22",3,"Chase Brown",CIN,"RB11","10","4 out of 5 stars","+2"
"23",3,"Trey McBride",ARI,"TE2","8","5 out of 5 stars","+4"
"24",3,"Ladd McConkey",LAC,"WR11","12","3 out of 5 stars","+2"
"25",3,"Josh Allen",BUF,"QB1","7","4 out of 5 stars","-2"
"26",3,"Kyren Williams",LAR,"RB12","8","3 out of 5 stars","-1"
"27",3,"Lamar Jackson",BAL,"QB2","7","3 out of 5 stars","-5"
"28",4,"Jaxon Smith-Njigba",SEA,"WR12","8","3 out of 5 stars","+4"
"29",4,"Tee Higgins",CIN,"WR13","10","3 out of 5 stars","+2"
"30",4,"George Kittle",SF,"TE3","14","3 out of 5 stars","+5"
"31",4,"Tyreek Hill",MIA,"WR14","12","3 out of 5 stars","-3"
"32",4,"Jayden Daniels",WAS,"QB3","12","2 out of 5 stars","-3"
"33",4,"Mike Evans",TB,"WR15","9","3 out of 5 stars","+8"
"34",4,"Garrett Wilson",NYJ,"WR16","9","4 out of 5 stars","+3"
"35",4,"James Cook",BUF,"RB13","7","4 out of 5 stars","-5"
"36",4,"Davante Adams",LAR,"WR17","8","3 out of 5 stars","+8"
"37",4,"Jalen Hurts",PHI,"QB4","9","3 out of 5 stars","-1"
"38",4,"Kenneth Walker III",SEA,"RB14","8","3 out of 5 stars","+4"
"39",4,"Omarion Hampton",LAC,"RB15","12","2 out of 5 stars","-6"
"40",4,"Marvin Harrison Jr.",ARI,"WR18","8","4 out of 5 stars","0"
"41",4,"Alvin Kamara",NO,"RB16","11","4 out of 5 stars","-2"
"42",4,"Terry McLaurin",WAS,"WR19","12","3 out of 5 stars","+3"
"43",4,"Breece Hall",NYJ,"RB17","9","5 out of 5 stars","-9"
"44",4,"DJ Moore",CHI,"WR20","5","2 out of 5 stars","+4"
"45",5,"Joe Burrow",CIN,"QB5","10","2 out of 5 stars","-7"
"46",5,"DK Metcalf",PIT,"WR21","5","4 out of 5 stars","+1"
"47",5,"Chuba Hubbard",CAR,"RB18","14","3 out of 5 stars","-4"
"48",5,"Courtland Sutton",DEN,"WR22","12","3 out of 5 stars","+1"
"49",5,"James Conner",ARI,"RB19","8","3 out of 5 stars","-3"
"50",5,"TreVeyon Henderson",NE,"RB20","14","4 out of 5 stars","+3"
"51",5,"DeVonta Smith",PHI,"WR23","9","3 out of 5 stars","0"
"52",5,"Tetairoa McMillan",CAR,"WR24","14","4 out of 5 stars","+12"
"53",5,"Jameson Williams",DET,"WR25","8","3 out of 5 stars","+9"
"54",5,"Xavier Worthy",KC,"WR26","10","3 out of 5 stars","+3"
"55",5,"Calvin Ridley",TEN,"WR27","10","4 out of 5 stars","+13"
"56",5,"George Pickens",DAL,"WR28","10","2 out of 5 stars","+9"
"57",5,"Zay Flowers",BAL,"WR29","7","3 out of 5 stars","+3"
"58",5,"D'Andre Swift",CHI,"RB21","5","3 out of 5 stars","+3"
"59",5,"David Montgomery",DET,"RB22","8","2 out of 5 stars","-5"
"60",5,"Tony Pollard",TEN,"RB23","10","2 out of 5 stars","-2"
"61",5,"Jaylen Waddle",MIA,"WR30","12","3 out of 5 stars","+12"
"62",5,"Isiah Pacheco",KC,"RB24","10","2 out of 5 stars","-3"
"63",5,"RJ Harvey",DEN,"RB25","12","2 out of 5 stars","-11"
"64",5,"Sam LaPorta",DET,"TE4","8","3 out of 5 stars","-9"
"65",5,"Aaron Jones Sr.",MIN,"RB26","6","3 out of 5 stars","+2"
"66",6,"Patrick Mahomes II",KC,"QB6","10","3 out of 5 stars","-16"
"67",6,"T.J. Hockenson",MIN,"TE5","6","3 out of 5 stars","-1"
"68",6,"Travis Hunter",JAC,"WR31","8","4 out of 5 stars","+4"
"69",6,"Chris Olave",NO,"WR32","11","4 out of 5 stars","+6"
"70",6,"Rashee Rice",KC,"WR33","10","3 out of 5 stars","-14"
"71",6,"Baker Mayfield",TB,"QB7","9","2 out of 5 stars","-2"
"72",6,"Rome Odunze",CHI,"WR34","5","2 out of 5 stars","+7"
"73",6,"Bo Nix",DEN,"QB8","12","4 out of 5 stars","+1"
"74",6,"Tyrone Tracy Jr.",NYG,"RB27","14","3 out of 5 stars","+4"
"75",6,"Jerry Jeudy",CLE,"WR35","9","2 out of 5 stars","+2"
"76",6,"Ricky Pearsall",SF,"WR36","14","4 out of 5 stars","+13"
"77",6,"Kaleb Johnson",PIT,"RB28","5","4 out of 5 stars","-6"
"78",6,"Travis Kelce",KC,"TE6","10","3 out of 5 stars","-15"
"79",6,"Mark Andrews",BAL,"TE7","7","3 out of 5 stars","-3"
"80",6,"Jaylen Warren",PIT,"RB29","5","4 out of 5 stars","0"
"81",6,"Kyler Murray",ARI,"QB9","8","4 out of 5 stars","+5"
"82",6,"Stefon Diggs",NE,"WR37","14","3 out of 5 stars","+2"
"83",6,"Jakobi Meyers",LV,"WR38","8","4 out of 5 stars","+4"
"84",6,"Emeka Egbuka",TB,"WR39","9","3 out of 5 stars","+12"
"85",6,"David Njoku",CLE,"TE8","9","3 out of 5 stars","+3"
"86",6,"Dak Prescott",DAL,"QB10","10","2 out of 5 stars","+11"
"87",6,"Travis Etienne Jr.",JAC,"RB30","8","2 out of 5 stars","+5"
"88",6,"Evan Engram",DEN,"TE9","12","3 out of 5 stars","-6"
"89",7,"Jordan Addison",MIN,"WR40","6","2 out of 5 stars","-4"
"90",7,"Deebo Samuel Sr.",WAS,"WR41","12","3 out of 5 stars","-7"
"91",7,"Jordan Mason",MIN,"RB31","6","3 out of 5 stars","-1"
"92",7,"Brock Purdy",SF,"QB11","14","4 out of 5 stars","+3"
"93",7,"Jauan Jennings",SF,"WR42","14","4 out of 5 stars","+7"
"94",7,"Zach Charbonnet",SEA,"RB32","8","3 out of 5 stars","+9"
"95",7,"Tucker Kraft",GB,"TE10","5","2 out of 5 stars","+7"
"96",7,"Justin Fields",NYJ,"QB12","9","5 out of 5 stars","+8"
"97",7,"Justin Herbert",LAC,"QB13","12","3 out of 5 stars","+10"
"98",7,"Joe Mixon",HOU,"RB33","6","2 out of 5 stars","-28"
"99",7,"Khalil Shakir",BUF,"WR43","7","3 out of 5 stars","+9"
"100",7,"Javonte Williams",DAL,"RB34","10","2 out of 5 stars","+11"
"101",7,"Caleb Williams",CHI,"QB14","5","2 out of 5 stars","+9"
"102",7,"Jayden Reed",GB,"WR44","5","2 out of 5 stars","+4"
"103",7,"Drake Maye",NE,"QB15","14","5 out of 5 stars","+12"
"104",7,"Tyler Warren",IND,"TE11","11","3 out of 5 stars","+1"
"105",7,"J.K. Dobbins",DEN,"RB35","12","2 out of 5 stars","-4"
"106",7,"Jared Goff",DET,"QB16","8","2 out of 5 stars","-7"
"107",7,"Josh Downs",IND,"WR45","11","4 out of 5 stars","+10"
"108",7,"Rhamondre Stevenson",NE,"RB36","14","4 out of 5 stars","+4"
"109",7,"Chris Godwin Jr.",TB,"WR46","9","3 out of 5 stars","-16"
"110",7,"Cooper Kupp",SEA,"WR47","8","3 out of 5 stars","-16"
"111",7,"Michael Pittman Jr.",IND,"WR48","11","4 out of 5 stars","+11"
"112",7,"Tank Bigsby",JAC,"RB37","8","2 out of 5 stars","+1"
"113",7,"Jordan Love",GB,"QB17","5","2 out of 5 stars","+16"
"114",7,"Matthew Golden",GB,"WR49","5","2 out of 5 stars","-16"
"115",7,"Trevor Lawrence",JAC,"QB18","8","3 out of 5 stars","+43"
"116",7,"Cam Skattebo",NYG,"RB38","14","3 out of 5 stars","-7"
"117",7,"C.J. Stroud",HOU,"QB19","6","3 out of 5 stars","+6"
"118",7,"Jacory Croskey-Merritt",WAS,"RB39","12","2 out of 5 stars","+28"
"119",7,"Jake Ferguson",DAL,"TE12","10","2 out of 5 stars","+1"
"120",7,"Austin Ekeler",WAS,"RB40","12","2 out of 5 stars","+11"
"121",7,"Dalton Kincaid",BUF,"TE13","7","3 out of 5 stars","-2"
"122",8,"Darnell Mooney",ATL,"WR50","5","3 out of 5 stars","+26"
"123",8,"Quinshon Judkins",CLE,"RB41","9","4 out of 5 stars","-32"
"124",8,"Keon Coleman",BUF,"WR51","7","3 out of 5 stars","+4"
"125",8,"Braelon Allen",NYJ,"RB42","9","5 out of 5 stars","+13"
"126",8,"J.J. McCarthy",MIN,"QB20","6","2 out of 5 stars","+4"
"127",8,"Dallas Goedert",PHI,"TE14","9","3 out of 5 stars","+7"
"128",8,"Tyjae Spears",TEN,"RB43","10","2 out of 5 stars","+5"
"129",8,"Colston Loveland",CHI,"TE15","5","4 out of 5 stars","-15"
"130",8,"Rashid Shaheed",NO,"WR52","11","4 out of 5 stars","+21"
"131",8,"Rachaad White",TB,"RB44","9","3 out of 5 stars","+9"
"132",8,"Brandon Aiyuk",SF,"WR53","14","4 out of 5 stars","+4"
"133",8,"Najee Harris",LAC,"RB45","12","2 out of 5 stars","-17"
"134",8,"Brian Robinson Jr.",SF,"RB46","14","3 out of 5 stars","-53"
"135",8,"Ray Davis",BUF,"RB47","7","4 out of 5 stars","+17"
"136",8,"Trey Benson",ARI,"RB48","8","3 out of 5 stars","+8"
"137",8,"Christian Kirk",HOU,"WR54","6","4 out of 5 stars","+27"
"138",8,"Jaydon Blue",DAL,"RB49","10","2 out of 5 stars","-11"
"139",8,"Kyle Pitts Sr.",ATL,"TE16","5","3 out of 5 stars","-13"
"140",8,"Tyler Allgeier",ATL,"RB50","5","4 out of 5 stars","+26"
"141",8,"Bryce Young",CAR,"QB21","14","3 out of 5 stars","+27"
"142",8,"Tua Tagovailoa",MIA,"QB22","12","5 out of 5 stars","+17"
"143",8,"Rashod Bateman",BAL,"WR55","7","3 out of 5 stars","+33"
"144",8,"Marvin Mims Jr.",DEN,"WR56","12","3 out of 5 stars","+12"
"145",8,"Nick Chubb",HOU,"RB51","6","2 out of 5 stars","-10"
"146",8,"Cedric Tillman",CLE,"WR57","9","2 out of 5 stars","+63"
"147",8,"Michael Penix Jr.",ATL,"QB23","5","4 out of 5 stars","+14"
"148",8,"Hunter Henry",NE,"TE17","14","3 out of 5 stars","+5"
"149",8,"Luther Burden III",CHI,"WR58","5","2 out of 5 stars","-2"
"150",8,"Jerome Ford",CLE,"RB52","9","4 out of 5 stars","-5"
"151",8,"Bhayshul Tuten",JAC,"RB53","8","2 out of 5 stars","-10"
"152",8,"Zach Ertz",WAS,"TE18","12","3 out of 5 stars","+13"
"153",8,"Jayden Higgins",HOU,"WR59","6","4 out of 5 stars","-11"
"154",8,"Jonnu Smith",PIT,"TE19","5","3 out of 5 stars","-33"
"155",8,"Dylan Sampson",CLE,"RB54","9","4 out of 5 stars","+7"
"156",8,"Keenan Allen",LAC,"WR60","12","3 out of 5 stars","-7"
"157",8,"Rico Dowdle",CAR,"RB55","14","3 out of 5 stars","0"
"158",8,"Matthew Stafford",LAR,"QB24","8","3 out of 5 stars","+19"
"159",8,"Geno Smith",LV,"QB25","8","3 out of 5 stars","+21"
"160",8,"Isaac Guerendo",SF,"RB56","14","3 out of 5 stars","-17"
"161",9,"Marquise Brown",KC,"WR61","10","3 out of 5 stars","+11"
"162",9,"Romeo Doubs",GB,"WR62","5","2 out of 5 stars","+59"
"163",9,"Kyle Williams",NE,"WR63","14","3 out of 5 stars","+21"
"164",9,"DeMario Douglas",NE,"WR64","14","3 out of 5 stars","+48"
"165",9,"Wan'Dale Robinson",NYG,"WR65","14","2 out of 5 stars","+52"
"166",9,"Adam Thielen",CAR,"WR66","14","4 out of 5 stars","+7"
"167",9,"Tre' Harris",LAC,"WR67","12","3 out of 5 stars","-4"
"168",9,"Joshua Palmer",BUF,"WR68","7","3 out of 5 stars","+43"
"169",9,"Cam Ward",TEN,"QB26","10","2 out of 5 stars","-14"
"170",9,"Sam Darnold",SEA,"QB27","8","4 out of 5 stars","+8"
"171",9,"Jaylen Wright",MIA,"RB57","12","4 out of 5 stars","-1"
"172",9,"Brenton Strange",JAC,"TE20","8","3 out of 5 stars","+15"
"173",9,"Denver Broncos",DEN,"DST1","12","4 out of 5 stars","-49"
"174",9,"Xavier Legette",CAR,"WR69","14","4 out of 5 stars","+42"
"175",9,"Roschon Johnson",CHI,"RB58","5","3 out of 5 stars","+50"
"176",9,"Quentin Johnston",LAC,"WR70","12","3 out of 5 stars","+73"
